Node,Layer,Core Domain
Apheresis,Main Concept,Life Sciences
PARP1,Main Concept,Health & Medical Sciences
Drilling,Main Concept,Formal Sciences
Impaired glucose tolerance,Main Concept,Health & Medical Sciences
Rural and Ethnic Education,Core Thematic Domain,Social Sciences
Gaze-contingency paradigm,Main Concept,Social Sciences & Humanities
Forensic Toxicology and Drug Analysis,Core Thematic Domain,Health & Medical Sciences
Clinical neuropsychology,Main Concept,Health & Medical Sciences
Methodological individualism,Main Concept,Social Sciences & Humanities
Identity management,Main Concept,Social Sciences
Mydriasis,Main Concept,Life Sciences
Pantoea,Main Concept,Life Sciences
Base load power plant,Main Concept,Engineering & Technology
Neurological and metabolic disorders,Core Thematic Domain,Health & Medical Sciences
Water Resources and Governance,Core Thematic Domain,Social Sciences
Noise measurement,Main Concept,Formal Sciences
Cigarette smoking,Main Concept,Health & Medical Sciences
Ldl cholesterol,Main Concept,Life Sciences
B2 receptor,Main Concept,Natural Sciences
Social Issues and Sustainability,Core Thematic Domain,Social Sciences
Portopulmonary hypertension,Main Concept,Health & Medical Sciences
"Religion, Theology, History, Judaism, Christianity",Core Thematic Domain,Social Sciences
Random forest,Main Concept,Formal Sciences
Kite,Main Concept,Social Sciences & Humanities
Antiphospholipid syndrome,Main Concept,Health & Medical Sciences
Malignant transformation,Main Concept,Health & Medical Sciences
Neurofibrillary tangle,Main Concept,Health & Medical Sciences
Brazilian History and Foreign Policy,Core Thematic Domain,Social Sciences & Humanities
Publics,Main Concept,Social Sciences & Humanities
East Asian Monsoon,Main Concept,Social Sciences & Humanities
"Privacy, Security, and Data Protection",Core Thematic Domain,Social Sciences
Geometric Brownian motion,Main Concept,Social Sciences & Humanities
Late Devonian extinction,Main Concept,Natural Sciences
Stereoselectivity,Main Concept,Life Sciences
Bisphenol S,Main Concept,Natural Sciences
Graupel,Main Concept,Natural Sciences
Human Rights and Immigration,Core Thematic Domain,Social Sciences
Region of interest,Main Concept,Formal Sciences
Data point,Main Concept,Formal Sciences
"Historical, Literary, and Cultural Studies",Core Thematic Domain,Social Sciences & Humanities
Aerosol Filtration and Electrostatic Precipitation,Core Thematic Domain,Engineering & Technology
PD-L1,Main Concept,Health & Medical Sciences
Barnes integral,Main Concept,Engineering & Technology
Solid fuel,Main Concept,Engineering & Technology
Multimedia Communication and Technology,Core Thematic Domain,Social Sciences
TARDBP,Main Concept,Health & Medical Sciences
Membrane fouling,Main Concept,Engineering & Technology
Phosphatidylinositol,Main Concept,Life Sciences
Textile,Main Concept,Formal Sciences
Advanced MRI Techniques and Applications,Core Thematic Domain,Health & Medical Sciences
Parenteral nutrition,Main Concept,Health & Medical Sciences
Statistical and Nonlinear Physics,Academic Subdiscipline,Natural Sciences
Scientific progress,Main Concept,Social Sciences & Humanities
Amateur,Main Concept,Social Sciences & Humanities
Spinal Dysraphism and Malformations,Core Thematic Domain,Health & Medical Sciences
Number sense,Main Concept,Social Sciences
Diverse Musicological Studies,Core Thematic Domain,Social Sciences & Humanities
Orality,Main Concept,Social Sciences
Transaction cost,Main Concept,Engineering & Technology
Problem and Project Based Learning,Core Thematic Domain,Social Sciences
Quasicrystal,Main Concept,Engineering & Technology
Felodipine,Main Concept,Health & Medical Sciences
High sodium,Main Concept,Health & Medical Sciences
Biofuel production and bioconversion,Core Thematic Domain,Engineering & Technology
Nanotube,Main Concept,Engineering & Technology
Spinal cord,Main Concept,Life Sciences
Pan evaporation,Main Concept,Life Sciences
Frequency deviation,Main Concept,Natural Sciences
Neutrophile,Main Concept,Health & Medical Sciences
"Leadership, Behavior, and Decision-Making Studies",Core Thematic Domain,Social Sciences & Humanities
Polaron,Main Concept,Engineering & Technology
Cardiac fibrosis,Main Concept,Health & Medical Sciences
Drag,Main Concept,Natural Sciences
Fibrodysplasia ossificans progressiva,Main Concept,Health & Medical Sciences
Capital accumulation,Main Concept,Formal Sciences
Inertial measurement unit,Main Concept,Formal Sciences
Invariant measure,Main Concept,Formal Sciences
Fatalism,Main Concept,Social Sciences & Humanities
Homophily,Main Concept,Social Sciences
Optical properties of carbon nanotubes,Main Concept,Engineering & Technology
Reflective practice,Main Concept,Social Sciences
Severe obesity,Main Concept,Health & Medical Sciences
Mating,Main Concept,Social Sciences & Humanities
Tectonics,Main Concept,Formal Sciences
Feminism,Main Concept,Social Sciences & Humanities
Text mining,Main Concept,Health & Medical Sciences
Threshold of pain,Main Concept,Health & Medical Sciences
Nitrosomonas,Main Concept,Natural Sciences
Ternary alloy,Main Concept,Engineering & Technology
Scottish History and National Identity,Core Thematic Domain,Social Sciences & Humanities
Vector field,Main Concept,Formal Sciences
Fatigue testing,Main Concept,Engineering & Technology
Songbird,Main Concept,Life Sciences
Wildlife disease,Main Concept,Natural Sciences
Body dysmorphic disorder,Main Concept,Social Sciences
Weather forecasting,Main Concept,Natural Sciences
Electrophile,Main Concept,Engineering & Technology
Deformity,Main Concept,Health & Medical Sciences
Aging in place,Main Concept,Social Sciences
Magnetic and transport properties of perovskites and related materials,Core Thematic Domain,Engineering & Technology
Pulmonary compliance,Main Concept,Health & Medical Sciences
Tifton,Main Concept,Natural Sciences
Nasolabial fold,Main Concept,Health & Medical Sciences
Monooxygenase,Main Concept,Life Sciences
Exchangeable random variables,Main Concept,Formal Sciences
Calbindin,Main Concept,Life Sciences
Quartile,Main Concept,Health & Medical Sciences
Language policy,Main Concept,Social Sciences
Radial basis function network,Main Concept,Engineering & Technology
Podospora anserina,Main Concept,Life Sciences
Sport and Mega-Event Impacts,Core Thematic Domain,Social Sciences
Growth rate,Main Concept,Natural Sciences
Soil loss,Main Concept,Life Sciences
Equilibrium selection,Main Concept,Engineering & Technology
Consumer research,Main Concept,Social Sciences & Humanities
Grammaticalization,Main Concept,Social Sciences & Humanities
Gel permeation chromatography,Main Concept,Life Sciences
Star cluster,Main Concept,Natural Sciences
Produced water,Main Concept,Natural Sciences
Public power,Main Concept,Social Sciences
File format,Main Concept,Formal Sciences
Pulley,Main Concept,Health & Medical Sciences
Soil salinity,Main Concept,Life Sciences
Cyperus,Main Concept,Natural Sciences
Ribosomal protein,Main Concept,Life Sciences
Maltose,Main Concept,Life Sciences
Vegan Diet,Main Concept,Natural Sciences
Vaccine Coverage and Hesitancy,Core Thematic Domain,Social Sciences
Chylomicron,Main Concept,Health & Medical Sciences
Statistical power,Main Concept,Social Sciences & Humanities
Strongly monotone,Main Concept,Formal Sciences
Methanol fuel,Main Concept,Engineering & Technology
Inner core,Main Concept,Engineering & Technology
Medal,Main Concept,Formal Sciences
Human security,Main Concept,Social Sciences
Single market,Main Concept,Social Sciences
Cytochrome C1,Main Concept,Life Sciences
Terahertz time-domain spectroscopy,Main Concept,Engineering & Technology
Management system,Main Concept,Formal Sciences
Target Tracking and Data Fusion in Sensor Networks,Core Thematic Domain,Formal Sciences
Multiplexer,Main Concept,Engineering & Technology
Sign test,Main Concept,Social Sciences & Humanities
Values,Main Concept,Social Sciences & Humanities
Office automation,Main Concept,Engineering & Technology
Concept learning,Main Concept,Social Sciences & Humanities
Solar energy conversion,Main Concept,Engineering & Technology
Semantic computing,Main Concept,Engineering & Technology
Legionella and Acanthamoeba research,Core Thematic Domain,Life Sciences
Magnetism,Main Concept,Engineering & Technology
Spanish Civil War,Main Concept,Social Sciences & Humanities
Bark (sound),Main Concept,Life Sciences
Phytane,Main Concept,Natural Sciences
Duty,Main Concept,Social Sciences & Humanities
Diverse Scientific Research in Ukraine,Core Thematic Domain,Natural Sciences
Darkness,Main Concept,Social Sciences & Humanities
Epoch (astronomy),Main Concept,Life Sciences
Language understanding,Main Concept,Engineering & Technology
Primary systemic amyloidosis,Main Concept,Health & Medical Sciences
Allium fistulosum,Main Concept,Life Sciences
Celestial sphere,Main Concept,Natural Sciences
Maximal function,Main Concept,Formal Sciences
Phase margin,Main Concept,Engineering & Technology
General anaesthesia,Main Concept,Health & Medical Sciences
Silicon Carbide Semiconductor Technologies,Core Thematic Domain,Engineering & Technology
Wearable technology,Main Concept,Formal Sciences
Rigid body,Main Concept,Engineering & Technology
Fused deposition modeling,Main Concept,Engineering & Technology
Excuse,Main Concept,Social Sciences & Humanities
Atomic force acoustic microscopy,Main Concept,Engineering & Technology
Inguinal lymphadenopathy,Main Concept,Health & Medical Sciences
Distillation,Main Concept,Formal Sciences
Dissociative Experiences Scale,Main Concept,Social Sciences & Humanities
Skeletal Muscle Fibers,Main Concept,Life Sciences
Quantum nonlocality,Main Concept,Health & Medical Sciences
Residual neural network,Main Concept,Formal Sciences
Zone of proximal development,Main Concept,Social Sciences
Protein Data Bank (RCSB PDB),Main Concept,Health & Medical Sciences
Toughening,Main Concept,Engineering & Technology
Animal health,Main Concept,Life Sciences
Fabaceae,Main Concept,Life Sciences
Agrobacterium,Main Concept,Life Sciences
Millimeter-Wave Propagation and Modeling,Core Thematic Domain,Engineering & Technology
Transparent conducting film,Main Concept,Engineering & Technology
Sonic hedgehog,Main Concept,Health & Medical Sciences
Full virtualization,Main Concept,Formal Sciences
Solar neutrino problem,Main Concept,Natural Sciences
Electrical Contact Performance and Analysis,Core Thematic Domain,Engineering & Technology
Nucleotide excision repair,Main Concept,Health & Medical Sciences
Sleep (system call),Main Concept,Social Sciences & Humanities
Authentic learning,Main Concept,Social Sciences
Cellular adaptation,Main Concept,Health & Medical Sciences
Demolition,Main Concept,Social Sciences
Drug Discovery,Academic Subdiscipline,Health & Medical Sciences
Wave propagation,Main Concept,Engineering & Technology
Image noise,Main Concept,Formal Sciences
Responsible Research and Innovation,Main Concept,Life Sciences
German philosophy,Main Concept,Social Sciences & Humanities
Cognitive training,Main Concept,Social Sciences
Volition (linguistics),Main Concept,Social Sciences & Humanities
Torsional vibration,Main Concept,Engineering & Technology
Intensive Care Unit Cognitive Disorders,Core Thematic Domain,Health & Medical Sciences
Belief in God,Main Concept,Social Sciences & Humanities
Body fat percentage,Main Concept,Social Sciences
Social Sciences and Humanities,Core Thematic Domain,Social Sciences
Optimal Power Flow Distribution,Core Thematic Domain,Engineering & Technology
Perceived exertion,Main Concept,Social Sciences & Humanities
Social cognition,Main Concept,Social Sciences & Humanities
Milan criteria,Main Concept,Health & Medical Sciences
Family history,Main Concept,Formal Sciences
Fire effects on concrete materials,Core Thematic Domain,Engineering & Technology
Pivalic acid,Main Concept,Engineering & Technology
Planetary boundary layer,Main Concept,Engineering & Technology
Terrestrial plant,Main Concept,Life Sciences
Bipedalism,Main Concept,Health & Medical Sciences
Spectroscopy and Chemometric Analyses,Core Thematic Domain,Natural Sciences
Cellular Mechanics and Interactions,Core Thematic Domain,Life Sciences
Amphetamine,Main Concept,Life Sciences
Topological degeneracy,Main Concept,Engineering & Technology
Agriculture,Main Concept,Social Sciences & Humanities
Philosophy of education,Main Concept,Formal Sciences
Liver metabolism,Main Concept,Health & Medical Sciences
Short-chain fatty acid,Main Concept,Health & Medical Sciences
Dark energy,Main Concept,Formal Sciences
D-loop,Main Concept,Engineering & Technology
ALIZARIN RED,Main Concept,Health & Medical Sciences
Gestational trophoblastic neoplasia,Main Concept,Health & Medical Sciences
Coproduction,Main Concept,Social Sciences
Ammonium molybdate,Main Concept,Health & Medical Sciences
Youth Development and Social Support,Core Thematic Domain,Social Sciences
Argumentation theory,Main Concept,Social Sciences & Humanities
Ring-closing metathesis,Main Concept,Natural Sciences
European Politics and Security,Core Thematic Domain,Social Sciences
GLI1,Main Concept,Health & Medical Sciences
Afferent,Main Concept,Life Sciences
Moving average,Main Concept,Natural Sciences
Relative survival,Main Concept,Health & Medical Sciences
Reliability (semiconductor),Main Concept,Social Sciences & Humanities
Osmium,Main Concept,Life Sciences
Verb phrase,Main Concept,Social Sciences & Humanities
Postherpetic neuralgia,Main Concept,Health & Medical Sciences
Law of total covariance,Main Concept,Formal Sciences
Intermediate-mass black hole,Main Concept,Natural Sciences
Allergic Rhinitis and Sensitization,Core Thematic Domain,Health & Medical Sciences
Flooding (psychology),Main Concept,Formal Sciences
Backlash,Main Concept,Social Sciences
Participatory evaluation,Main Concept,Social Sciences
4-Hydroxynonenal,Main Concept,Natural Sciences
Advanced Thermodynamics and Statistical Mechanics,Core Thematic Domain,Natural Sciences
Contact resistance,Main Concept,Engineering & Technology
Social phenomenon,Main Concept,Social Sciences
Type II collagen,Main Concept,Engineering & Technology
Neutrality,Main Concept,Social Sciences & Humanities
Giant magnetoimpedance,Main Concept,Engineering & Technology
Random Matrices and Applications,Core Thematic Domain,Formal Sciences
Human Protein Atlas,Main Concept,Health & Medical Sciences
Perfectly matched layer,Main Concept,Natural Sciences
Enamel organ,Main Concept,Health & Medical Sciences
Hausdorff dimension,Main Concept,Formal Sciences
Spacecraft and Cryogenic Technologies,Core Thematic Domain,Engineering & Technology
Aggression,Main Concept,Social Sciences & Humanities
Base isolation,Main Concept,Engineering & Technology
Unitary state,Main Concept,Formal Sciences
Ricardian equivalence,Main Concept,Social Sciences
Brassicaceae,Main Concept,Life Sciences
DNA sequencing,Main Concept,Formal Sciences
Educational Methods and Teacher Development,Core Thematic Domain,Formal Sciences
Leptospirosis,Main Concept,Life Sciences
Malvidin,Main Concept,Life Sciences
Public health and occupational medicine,Core Thematic Domain,Social Sciences
Retinal Imaging and Analysis,Core Thematic Domain,Health & Medical Sciences
Naringin,Main Concept,Engineering & Technology
Human lung,Main Concept,Natural Sciences
Lymphopoiesis,Main Concept,Life Sciences
Dose rate,Main Concept,Natural Sciences
"IL-33, ST2, and ILC Pathways",Core Thematic Domain,Life Sciences
Healthcare Systems and Challenges,Core Thematic Domain,Health & Medical Sciences
Ideology,Main Concept,Social Sciences & Humanities
Proteolipid protein 1,Main Concept,Life Sciences
ColE1,Main Concept,Life Sciences
GPS tracking server,Main Concept,Engineering & Technology
Radio Astronomy Observations and Technology,Core Thematic Domain,Natural Sciences
Operability,Main Concept,Formal Sciences
Intercultural communication,Main Concept,Social Sciences & Humanities
Concept inventory,Main Concept,Social Sciences
Glutathione disulfide,Main Concept,Health & Medical Sciences
Hegemony,Main Concept,Social Sciences & Humanities
Land Use and Ecosystem Services,Core Thematic Domain,Natural Sciences
Psychomotor agitation,Main Concept,Social Sciences & Humanities
Probabilistic encryption,Main Concept,Formal Sciences
Cell nucleus,Main Concept,Health & Medical Sciences
Market structure,Main Concept,Social Sciences & Humanities
French Language Learning Methods,Core Thematic Domain,Social Sciences
Sterilization (economics),Main Concept,Health & Medical Sciences
IDH2,Main Concept,Health & Medical Sciences
Constitutional court,Main Concept,Social Sciences
Gonadotropin-releasing hormone,Main Concept,Health & Medical Sciences
Gravitational lens,Main Concept,Natural Sciences
Ethylbenzene,Main Concept,Engineering & Technology
Intercultural competence,Main Concept,Social Sciences
Fibrin Tissue Adhesive,Main Concept,Health & Medical Sciences
Fire-control radar,Main Concept,Social Sciences
Craton,Main Concept,Natural Sciences
Nonpoint source pollution,Main Concept,Natural Sciences
Halo mass function,Main Concept,Natural Sciences
Nanolithography,Main Concept,Life Sciences
Intrinsics,Main Concept,Health & Medical Sciences
Genital tract,Main Concept,Health & Medical Sciences
Insulin resistance,Main Concept,Life Sciences
Eccentric,Main Concept,Life Sciences
Anoxic waters,Main Concept,Natural Sciences
Inclusion–exclusion principle,Main Concept,Social Sciences
Kappa,Main Concept,Formal Sciences
Overlapping generations model,Main Concept,Social Sciences
Gram,Main Concept,Formal Sciences
"Transforming growth factor, beta 3",Main Concept,Health & Medical Sciences
Alma mater,Main Concept,Social Sciences & Humanities
Regionalisation,Main Concept,Life Sciences
Debye,Main Concept,Engineering & Technology
Advanced Control and Stabilization in Aerospace Systems,Core Thematic Domain,Engineering & Technology
Grinding,Main Concept,Life Sciences
Multicultural education,Main Concept,Social Sciences & Humanities
Saffron Plant Research Studies,Core Thematic Domain,Health & Medical Sciences
Climate justice,Main Concept,Social Sciences
Energy recovery,Main Concept,Natural Sciences
Doxa,Main Concept,Social Sciences & Humanities
Cloud forcing,Main Concept,Natural Sciences
Hydrometallurgy,Main Concept,Engineering & Technology
Clinical endpoint,Main Concept,Social Sciences & Humanities
Aloe vera,Main Concept,Life Sciences
American west,Main Concept,Social Sciences & Humanities
Basic hypergeometric series,Main Concept,Engineering & Technology
Gastric banding,Main Concept,Health & Medical Sciences
Nail Diseases and Treatments,Core Thematic Domain,Health & Medical Sciences
Hyperaccumulator,Main Concept,Life Sciences
Receptor Mechanisms and Signaling,Core Thematic Domain,Life Sciences
Azimuth,Main Concept,Engineering & Technology
Biome,Main Concept,Life Sciences
Cardiac magnetic resonance imaging,Main Concept,Health & Medical Sciences
Gammaherpesvirinae,Main Concept,Health & Medical Sciences
BETA (programming language),Main Concept,Life Sciences
Ophthalmology and Visual Health Research,Core Thematic Domain,Health & Medical Sciences
Aminoquinolines,Main Concept,Natural Sciences
Fibroin,Main Concept,Life Sciences
Turner syndrome,Main Concept,Health & Medical Sciences
Electron,Main Concept,Formal Sciences
Clinical biochemistry,Main Concept,Life Sciences
Risk-seeking,Main Concept,Social Sciences
Microtubule and mitosis dynamics,Core Thematic Domain,Life Sciences
Link (geometry),Main Concept,Formal Sciences
Androgen,Main Concept,Life Sciences
PUVA therapy,Main Concept,Health & Medical Sciences
Mean motion,Main Concept,Life Sciences
Adult development,Main Concept,Social Sciences & Humanities
Flow cytometry,Main Concept,Life Sciences
Markov chain,Main Concept,Formal Sciences
Advances in Oncology and Radiotherapy,Core Thematic Domain,Health & Medical Sciences
Regulatory reform,Main Concept,Social Sciences & Humanities
Collective dose,Main Concept,Health & Medical Sciences
Aromatase,Main Concept,Health & Medical Sciences
Rigorous coupled-wave analysis,Main Concept,Engineering & Technology
Resin composite,Main Concept,Health & Medical Sciences
Placental site trophoblastic tumor,Main Concept,Health & Medical Sciences
ALK inhibitor,Main Concept,Health & Medical Sciences
Beta defensin,Main Concept,Life Sciences
Geological and Geophysical Studies,Core Thematic Domain,Natural Sciences
Cementitious,Main Concept,Engineering & Technology
Directional antenna,Main Concept,Engineering & Technology
Functional ecology,Main Concept,Life Sciences
Server,Main Concept,Formal Sciences
Information technology audit,Main Concept,Social Sciences & Humanities
Seismic hazard,Main Concept,Formal Sciences
Judicial activism,Main Concept,Social Sciences
Watson,Main Concept,Formal Sciences
Biological pest control,Main Concept,Life Sciences
Casual,Main Concept,Social Sciences & Humanities
Quantum key distribution,Main Concept,Formal Sciences
Metaplasticity,Main Concept,Health & Medical Sciences
Tetrabromobisphenol A,Main Concept,Engineering & Technology
Supercritical fluid chromatography,Main Concept,Social Sciences
Natural radioactivity,Main Concept,Engineering & Technology
Flapping,Main Concept,Engineering & Technology
Broadband networks,Main Concept,Engineering & Technology
Hibiscus Plant Research Studies,Core Thematic Domain,Health & Medical Sciences
Invasive surgery,Main Concept,Health & Medical Sciences
Hematopoietic stem cell transplantation,Main Concept,Life Sciences
Arylene,Main Concept,Natural Sciences
Postsecondary education,Main Concept,Social Sciences
Transcription factor,Main Concept,Social Sciences & Humanities
Superposition principle,Main Concept,Formal Sciences
Mechanical Failure Analysis and Simulation,Core Thematic Domain,Engineering & Technology
Gallstones,Main Concept,Health & Medical Sciences
Oleuropein,Main Concept,Life Sciences
Heuristic evaluation,Main Concept,Formal Sciences
Vascular Medicine,Main Concept,Health & Medical Sciences
Abdominal aortic aneurysm,Main Concept,Health & Medical Sciences
Extremal graph theory,Main Concept,Formal Sciences
Zygomycosis,Main Concept,Health & Medical Sciences
Rigid transformation,Main Concept,Health & Medical Sciences
Air quality index,Main Concept,Life Sciences
Artificial Intelligence,Academic Subdiscipline,Formal Sciences
Organic Electronics and Photovoltaics,Core Thematic Domain,Engineering & Technology
Radio-frequency identification,Main Concept,Formal Sciences
Lactobacillus,Main Concept,Life Sciences
"Agriculture, Water, and Health",Core Thematic Domain,Natural Sciences
Microwave ablation,Main Concept,Life Sciences
Feminist theory,Main Concept,Social Sciences & Humanities
H5N1 genetic structure,Main Concept,Health & Medical Sciences
Midbrain,Main Concept,Life Sciences
Soft skills,Main Concept,Formal Sciences
Beta-1 adrenergic receptor,Main Concept,Life Sciences
Audiology,Main Concept,Social Sciences & Humanities
Mixed logit,Main Concept,Social Sciences
Bioisostere,Main Concept,Health & Medical Sciences
Pyrrolidine,Main Concept,Health & Medical Sciences
Youth studies,Main Concept,Social Sciences
Precursor cell,Main Concept,Health & Medical Sciences
Stomach cancer,Main Concept,Health & Medical Sciences
Russian federation,Main Concept,Life Sciences
CYP2C19,Main Concept,Health & Medical Sciences
Surviving Sepsis Campaign,Main Concept,Health & Medical Sciences
Intrinsic motivation,Main Concept,Social Sciences & Humanities
Epinephrine,Main Concept,Life Sciences
Unemployment and Economic Growth,Core Thematic Domain,Social Sciences & Humanities
Neurogenic inflammation,Main Concept,Health & Medical Sciences
Daemon,Main Concept,Natural Sciences
Environmental science,Main Concept,Social Sciences & Humanities
Survey data collection,Main Concept,Formal Sciences
Transaction processing system,Main Concept,Formal Sciences
Diverse academic research themes,Core Thematic Domain,Social Sciences & Humanities
Sex pheromone,Main Concept,Life Sciences
Cognitive Neuroscience,Academic Subdiscipline,Life Sciences
Body fat distribution,Main Concept,Health & Medical Sciences
Menstrual cycle,Main Concept,Health & Medical Sciences
Mitogen-activated protein kinase,Main Concept,Health & Medical Sciences
Human use,Main Concept,Health & Medical Sciences
HOMO/LUMO,Main Concept,Engineering & Technology
Windmill,Main Concept,Engineering & Technology
Mentorship,Main Concept,Social Sciences
Storytelling,Main Concept,Social Sciences & Humanities
Interleukin 18,Main Concept,Health & Medical Sciences
Camber (aerodynamics),Main Concept,Engineering & Technology
"Migration, Refugees, and Integration",Core Thematic Domain,Social Sciences
Thrombocytosis,Main Concept,Health & Medical Sciences
Power series,Main Concept,Natural Sciences
Urokinase receptor,Main Concept,Health & Medical Sciences
Hair loss,Main Concept,Health & Medical Sciences
Coupled model intercomparison project,Main Concept,Natural Sciences
Material balance,Main Concept,Life Sciences
Human error,Main Concept,Social Sciences & Humanities
Perfluorooctane,Main Concept,Natural Sciences
Pilot plant,Main Concept,Formal Sciences
Sulfonic acid,Main Concept,Engineering & Technology
Technology's Impact on Media,Core Thematic Domain,Social Sciences & Humanities
mdx mouse,Main Concept,Life Sciences
Economic freedom,Main Concept,Social Sciences
Digital Imaging in Medicine,Core Thematic Domain,Health & Medical Sciences
Baseband,Main Concept,Engineering & Technology
Predator,Main Concept,Life Sciences
Whole genome sequencing,Main Concept,Life Sciences
Narrative network,Main Concept,Life Sciences
Strategic environmental assessment,Main Concept,Natural Sciences
Broth microdilution,Main Concept,Life Sciences
Homogeneous space,Main Concept,Health & Medical Sciences
Condition monitoring,Main Concept,Life Sciences
Mefloquine,Main Concept,Health & Medical Sciences
Lorenz system,Main Concept,Formal Sciences
Cognitive linguistics,Main Concept,Social Sciences & Humanities
Open-loop controller,Main Concept,Engineering & Technology
Shrubland,Main Concept,Life Sciences
Community of practice,Main Concept,Social Sciences
Vesicoureteric reflux,Main Concept,Health & Medical Sciences
Chromosome conformation capture,Main Concept,Health & Medical Sciences
Advanced Physical and Chemical Molecular Interactions,Core Thematic Domain,Natural Sciences
Micro black hole,Main Concept,Natural Sciences
Causal reasoning,Main Concept,Formal Sciences
Epidural space,Main Concept,Health & Medical Sciences
Chymotrypsin,Main Concept,Life Sciences
Selectin,Main Concept,Health & Medical Sciences
Railway Systems and Energy Efficiency,Core Thematic Domain,Natural Sciences
Percentile,Main Concept,Social Sciences & Humanities
Darbepoetin alfa,Main Concept,Health & Medical Sciences
Bang-bang robot,Main Concept,Engineering & Technology
Mitosis,Main Concept,Health & Medical Sciences
Humanities,Main Concept,Social Sciences & Humanities
Shape-memory polymer,Main Concept,Health & Medical Sciences
Polyamorphism,Main Concept,Engineering & Technology
Respiratory infection,Main Concept,Health & Medical Sciences
Soil texture,Main Concept,Life Sciences
Multifractal system,Main Concept,Formal Sciences
Collodion,Main Concept,Health & Medical Sciences
Metric tensor,Main Concept,Natural Sciences
Twin study,Main Concept,Social Sciences & Humanities
Vibration isolation,Main Concept,Engineering & Technology
Supersymmetric gauge theory,Main Concept,Formal Sciences
Automatic test pattern generation,Main Concept,Formal Sciences
Panopticon,Main Concept,Social Sciences
Service guarantee,Main Concept,Formal Sciences
Greenhouse gas,Main Concept,Social Sciences & Humanities
Word order,Main Concept,Social Sciences & Humanities
Intentionality,Main Concept,Social Sciences & Humanities
Gynecology,Main Concept,Social Sciences & Humanities
Circular dichroism,Main Concept,Health & Medical Sciences
Forestry,Academic Subdiscipline,Life Sciences
Osmoprotectant,Main Concept,Life Sciences
Tumor promotion,Main Concept,Health & Medical Sciences
Distributed hash table,Main Concept,Formal Sciences
Piperine,Main Concept,Health & Medical Sciences
Crew resource management,Main Concept,Engineering & Technology
Logotherapy,Main Concept,Social Sciences & Humanities
Herpesviridae,Main Concept,Health & Medical Sciences
Lattice constant,Main Concept,Engineering & Technology
Meconium,Main Concept,Health & Medical Sciences
Nutrient agar,Main Concept,Life Sciences
Ischemia,Main Concept,Life Sciences
Viscometer,Main Concept,Engineering & Technology
Semiconductor materials and interfaces,Core Thematic Domain,Natural Sciences
Key encapsulation,Main Concept,Formal Sciences
Phonology,Main Concept,Social Sciences & Humanities
Inrush current,Main Concept,Engineering & Technology
Lumbosacral joint,Main Concept,Health & Medical Sciences
Particle-laden flows,Main Concept,Engineering & Technology
Critical theory,Main Concept,Social Sciences & Humanities
Software-Defined Networks and 5G,Core Thematic Domain,Formal Sciences
Market economy,Main Concept,Social Sciences & Humanities
Sustainable Urban and Rural Development,Core Thematic Domain,Social Sciences
Withania somnifera,Main Concept,Health & Medical Sciences
General surgery,Main Concept,Social Sciences & Humanities
Cirrhosis,Main Concept,Health & Medical Sciences
Eulerian path,Main Concept,Formal Sciences
Scalar (mathematics),Main Concept,Formal Sciences
Elastin,Main Concept,Health & Medical Sciences
Relaxation (psychology),Main Concept,Formal Sciences
Functional endoscopic sinus surgery,Main Concept,Health & Medical Sciences
Local Multipoint Distribution Service,Main Concept,Formal Sciences
Neprilysin,Main Concept,Health & Medical Sciences
Xenoestrogen,Main Concept,Health & Medical Sciences
Cognitive Science and Education Research,Core Thematic Domain,Life Sciences
Volatility (finance),Main Concept,Formal Sciences
Ectoderm,Main Concept,Health & Medical Sciences
Air temperature,Main Concept,Health & Medical Sciences
Tropical rainforest,Main Concept,Life Sciences
Nesting (process),Main Concept,Social Sciences & Humanities
Dielectric dispersion,Main Concept,Engineering & Technology
Metamodeling,Main Concept,Engineering & Technology
Age groups,Main Concept,Life Sciences
World culture,Main Concept,Social Sciences
Neutralization,Main Concept,Health & Medical Sciences
Obligate parasite,Main Concept,Life Sciences
Food protein,Main Concept,Life Sciences
Postsynaptic potential,Main Concept,Health & Medical Sciences
Network element,Main Concept,Engineering & Technology
Test anxiety,Main Concept,Social Sciences & Humanities
Tea Polyphenols and Effects,Core Thematic Domain,Health & Medical Sciences
Intimate Partner and Family Violence,Core Thematic Domain,Social Sciences
Intracluster medium,Main Concept,Natural Sciences
Food intake,Main Concept,Life Sciences
Converters,Main Concept,Formal Sciences
Fork–join queue,Main Concept,Health & Medical Sciences
Phylogenetic nomenclature,Main Concept,Natural Sciences
Forward scatter,Main Concept,Natural Sciences
Complex system,Main Concept,Formal Sciences
Sofosbuvir,Main Concept,Health & Medical Sciences
Mesozoic,Main Concept,Social Sciences & Humanities
Afforestation,Main Concept,Life Sciences
Anaphylactoid reactions,Main Concept,Health & Medical Sciences
T790M,Main Concept,Life Sciences
Isotopes of uranium,Main Concept,Formal Sciences
Moorland,Main Concept,Social Sciences & Humanities
Apicomplexa,Main Concept,Life Sciences
Weight change,Main Concept,Health & Medical Sciences
Local-density approximation,Main Concept,Engineering & Technology
Linear-quadratic regulator,Main Concept,Engineering & Technology
Fludarabine,Main Concept,Health & Medical Sciences
Inverse demand function,Main Concept,Social Sciences
Capsule,Main Concept,Health & Medical Sciences
